Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub Category,Name ,Sales,Quantity,Discount,Profit,
11/24/2016,11/30/2016,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,
11/22/2016,11/26/2016,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,
09/14/2018,09/17/2018,Second Class,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,
12/05/2015,12/10/2015,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,
11/24/2016,11/30/2016,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,
12/09/2018,12/11/2018,First Class,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,
09/03/2016,09/08/2016,Standard Class,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,
01/16/2017,01/20/2017,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,
10/20/2015,10/25/2015,Second Class,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,
04/26/2016,05/02/2016,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,
10/26/2018,11/02/2018,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,
06/17/2017,06/18/2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,
11/13/2018,11/16/2018,First Class,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,
06/17/2018,06/20/2018,First Class,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,
03/11/2017,03/13/2017,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,
01/31/2016,02/05/2016,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,
08/25/2015,08/27/2015,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,
08/25/2015,08/27/2015,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,
06/17/2017,06/18/2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,
11/05/2018,11/12/2018,Standard Class,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,
10/13/2017,10/19/2017,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,
10/13/2017,10/19/2017,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616,
09/18/2018,09/23/2018,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,Xerox 1911,143.7,3,0.0,68.976,
10/13/2017,10/19/2017,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44,1,0.0,16.6568,
08/25/2015,08/27/2015,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,
11/05/2018,11/12/2018,Standard Class,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,
10/13/2017,10/19/2017,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0.0,1.9698,
04/15/2018,04/20/2018,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,
08/27/2015,09/01/2015,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,
12/09/2017,12/13/2017,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,
09/17/2016,09/21/2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,
09/17/2016,09/21/2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,
04/18/2016,04/22/2016,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,
06/17/2017,06/18/2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,
10/12/2015,10/16/2015,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,
09/18/2017,09/23/2017,Standard Class,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,
09/17/2017,09/22/2017,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,
06/12/2017,06/15/2017,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,
08/29/2017,09/02/2017,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,
11/03/2017,11/10/2017,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,
06/12/2017,06/15/2017,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368,
06/12/2017,06/15/2017,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,
02/02/2018,02/05/2018,First Class,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,
09/18/2018,09/23/2018,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Art,Newell 343,8.82,3,0.0,2.3814,
07/17/2017,07/22/2017,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,
10/12/2015,10/16/2015,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,
01/31/2016,02/05/2016,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,
12/01/2017,12/04/2017,Second Class,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,
11/03/2017,11/10/2017,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,
06/12/2017,06/15/2017,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,
02/02/2018,02/05/2018,First Class,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732,
09/18/2018,09/23/2018,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,5.1042,
12/09/2018,12/11/2018,First Class,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,
11/06/2018,11/12/2018,Standard Class,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,
11/13/2016,11/17/2016,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,
08/25/2015,08/27/2015,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925,
05/31/2016,06/02/2016,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0.0,26.271,
11/07/2017,11/11/2017,Standard Class,Max Jones,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,
10/13/2017,10/19/2017,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.456,
09/07/2016,09/12/2016,Standard Class,Helen Andreada,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,
12/22/2018,12/27/2018,Standard Class,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,
05/31/2016,06/02/2016,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Paper,Xerox 1883,105.52,4,0.0,48.5392,
09/08/2015,09/12/2015,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,
09/14/2015,09/19/2015,Standard Class,Jennifer Braxton,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12,
04/18/2016,04/22/2016,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,
06/04/2017,06/06/2017,First Class,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,
06/12/2017,06/15/2017,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,
09/17/2017,09/22/2017,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,
08/29/2017,09/02/2017,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,
12/05/2017,12/09/2017,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0.0,80.6285,
05/11/2017,05/12/2017,First Class,Ted Trevino,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691,
12/05/2015,12/09/2015,Second Class,David Kendrick,Corporate,United States,Decatur,Illinois,Central,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,
06/24/2018,06/29/2018,Standard Class,Maria Bertelson,Consumer,United States,Akron,Ohio,East,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795,
12/01/2018,12/07/2018,Standard Class,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0.0,3.6796,
12/24/2016,12/27/2016,First Class,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,6,0.2,8.2302,
09/13/2015,09/17/2015,Standard Class,Erin Ashbrook,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648,7,0.7,-12.432,
09/11/2017,09/17/2017,Standard Class,Kelly Collister,Consumer,United States,San Diego,California,West,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,0.0,3.5767,
12/01/2018,12/03/2018,Second Class,Craig Carreira,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Acco 3-Hole Punch,17.52,5,0.2,6.132,
12/28/2018,01/02/2019,Second Class,Kristen Hastings,Corporate,United States,San Francisco,California,West,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84,4,0.0,210.4936,
09/26/2016,09/28/2016,Second Class,Steven Cartwright,Consumer,United States,Houston,Texas,Central,Office Supplies,Binders,Round Ring Binders,2.08,5,0.8,-3.432,
11/20/2017,11/24/2017,Second Class,Nick Zandusky,Home Office,United States,Columbus,Ohio,East,Office Supplies,Labels,Avery 512,18.496,8,0.2,6.2424,
09/08/2015,09/12/2015,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849,
12/15/2016,12/19/2016,Standard Class,Jim Kriz,Home Office,United States,New York City,New York,East,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0.0,1.4104,
08/27/2015,09/01/2015,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,
09/17/2016,09/21/2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,
06/17/2017,06/18/2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,
04/05/2017,04/10/2017,Second Class,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,
09/06/2017,09/11/2017,Standard Class,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,
11/23/2018,11/28/2018,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,
04/05/2016,04/10/2016,Standard Class,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,
10/13/2017,10/19/2017,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0.0,18.4464,
11/20/2017,11/24/2017,Standard Class,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,Labels,Avery 519,14.62,2,0.0,6.8714,
09/08/2015,09/12/2015,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,
11/21/2016,11/23/2016,Second Class,Joel Eaton,Consumer,United States,Newark,Ohio,East,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715,
07/16/2017,07/22/2017,Standard Class,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255,
07/06/2018,07/13/2018,Standard Class,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586,
12/01/2018,12/07/2018,Standard Class,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0.0,7.4824,
06/01/2015,06/06/2015,Second Class,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,Central,Office Supplies,Paper,Xerox 205,25.92,4,0.0,12.4416,
12/09/2018,12/13/2018,Standard Class,Christine Abelman,Corporate,United States,Cincinnati,Ohio,East,Office Supplies,Storage,Safco Commercial Shelving,37.208,1,0.2,-7.4416,
10/13/2018,10/17/2018,Standard Class,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Eldon Simplefile Box Office,59.712,6,0.2,5.9712,
12/18/2017,12/20/2017,Second Class,Alan Haines,Corporate,United States,Tamarac,Florida,South,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,5,0.2,-204.3145,
10/28/2017,11/03/2017,Standard Class,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,East,Office Supplies,Paper,Xerox 223,32.4,5,0.0,15.552,
04/15/2018,04/17/2018,First Class,Shahid Hopkins,Consumer,United States,Arlington,Virginia,South,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89,1,0.0,2.0049,
07/08/2018,07/12/2018,Standard Class,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,East,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",12.96,2,0.0,4.1472,
04/23/2017,04/28/2017,Standard Class,Heather Kirkland,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,36.24,5,0.2,11.325,
10/21/2017,10/21/2017,Same Day,Michael Kennedy,Corporate,United States,Manchester,Connecticut,East,Office Supplies,Storage,Pizazz Global Quick File,104.79,7,0.0,29.3412,
04/28/2016,05/05/2016,Standard Class,Russell Applegate,Consumer,United States,Houston,Texas,Central,Office Supplies,Appliances,Holmes Odor Grabber,8.652,3,0.8,-20.3322,
11/24/2015,11/26/2015,First Class,Nathan Gelder,Consumer,United States,Cincinnati,Ohio,East,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264,
09/08/2017,09/10/2017,Second Class,Anna Gayman,Consumer,United States,Houston,Texas,Central,Office Supplies,Storage,Super Decoflex Portable Personal File,35.952,3,0.2,3.5952,
11/06/2018,11/10/2018,Standard Class,Victoria Brennan,Corporate,United States,Richmond,Kentucky,South,Office Supplies,Paper,Xerox 1987,5.78,1,0.0,2.8322,
10/01/2018,10/08/2018,Standard Class,Ken Heidel,Corporate,United States,San Antonio,Texas,Central,Office Supplies,Art,Design Ebony Sketching Pencil,6.672,6,0.2,0.5004,
09/15/2018,09/19/2018,Standard Class,Brenda Bowman,Corporate,United States,Houston,Texas,Central,Office Supplies,Paper,Xerox 1897,31.872,8,0.2,11.5536,
04/01/2017,04/03/2017,Second Class,Raymond Buch,Consumer,United States,Auburn,New York,East,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,161.94,3,0.0,9.7164,
09/26/2017,10/01/2017,Standard Class,Natalie Fritzler,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Envelopes,Staple envelope,8.928,2,0.2,3.348,
03/16/2016,03/22/2016,Standard Class,Christopher Martinez,Consumer,United States,Atlanta,Georgia,South,Office Supplies,Storage,Personal File Boxes with Fold-Down Carry Handle,46.74,3,0.0,11.685,
01/22/2018,01/27/2018,Standard Class,Alan Dominguez,Home Office,United States,Great Falls,Montana,West,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,3,0.0,56.301,
09/03/2016,09/07/2016,Standard Class,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Eldon Gobal File Keepers,36.336,3,0.2,-7.2672,
12/07/2016,12/11/2016,Standard Class,Darren Koutras,Consumer,United States,Henderson,Kentucky,South,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,152.94,3,0.0,41.2938,
11/15/2016,11/17/2016,Second Class,Dean Katz,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Storage,Home/Office Personal File Carts,250.272,9,0.2,15.642,
06/10/2017,06/15/2017,Standard Class,Olvera Toch,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 226,32.4,5,0.0,15.552,
10/01/2018,10/08/2018,Standard Class,Ellis Ballard,Corporate,United States,Seattle,Washington,West,Office Supplies,Paper,Xerox 222,19.44,3,0.0,9.3312,
07/20/2018,07/26/2018,Standard Class,Carlos Soltero,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",69.712,2,0.2,8.714,
07/14/2017,07/16/2017,First Class,Theone Pippenger,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Supplies,Acme Stainless Steel Office Snips,11.632,2,0.2,1.0178,
05/23/2015,05/27/2015,Standard Class,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Newell 317,21.168,9,0.2,2.3814,
08/18/2018,08/23/2018,Second Class,Nat Gilpin,Corporate,United States,New York City,New York,East,Office Supplies,Binders,Recycled Easel Ring Binders,107.424,9,0.2,33.57,
12/17/2018,12/21/2018,Standard Class,Logan Currie,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",15.24,5,0.2,5.1435,
09/19/2017,09/19/2017,Same Day,Eugene Hildebrand,Home Office,United States,Aurora,Illinois,Central,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,2.308,2,0.8,-3.462,
05/31/2016,06/02/2016,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0.0,21.0288,
